# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType	Bases affected (DOWNSTREAM)	Total score (DOWNSTREAM)	Length (DOWNSTREAM)	Bases affected (EXON)	Total score (EXON)	Length (EXON)	Bases affected (GENE)	Total score (GENE)	Length (GENE)	Bases affected (INTRON)	Total score (INTRON)	Length (INTRON)	Bases affected (SPLICE_SITE_ACCEPTOR)	Total score (SPLICE_SITE_ACCEPTOR)	Length (SPLICE_SITE_ACCEPTOR)	Bases affected (SPLICE_SITE_DONOR)	Total score (SPLICE_SITE_DONOR)	Length (SPLICE_SITE_DONOR)	Bases affected (SPLICE_SITE_REGION)	Total score (SPLICE_SITE_REGION)	Length (SPLICE_SITE_REGION)	Bases affected (UPSTREAM)	Total score (UPSTREAM)	Length (UPSTREAM)	Bases affected (UTR_3_PRIME)	Total score (UTR_3_PRIME)	Length (UTR_3_PRIME)	Bases affected (UTR_5_PRIME)	Total score (UTR_5_PRIME)	Length (UTR_5_PRIME)	Count (DOWNSTREAM)	Count (EXON)	Count (INTRON)	Count (NON_SYNONYMOUS_CODING)	Count (NON_SYNONYMOUS_START)	Count (SPLICE_SITE_ACCEPTOR)	Count (SPLICE_SITE_DONOR)	Count (SPLICE_SITE_REGION)	Count (START_GAINED)	Count (START_LOST)	Count (STOP_GAINED)	Count (STOP_LOST)	Count (SYNONYMOUS_CODING)	Count (SYNONYMOUS_STOP)	Count (UPSTREAM)	Count (UTR_3_PRIME)	Count (UTR_5_PRIME)
ARID2	ARID2	mRNA	6	0	5000	1	0	8466	197	0	178200	194	0	169734	0	0	40	0	0	40	0	0	0	4	0	5000	2	0	2958	0	0	0	6	0	194	0	0	0	0	0	0	0	0	0	1	0	4	2	0
ARID3A	ARID3A	mRNA	11	0	5000	2	0	2810	94	0	46767	92	0	43957	0	0	16	0	0	16	1	0	0	13	0	5000	0	0	738	0	0	290	11	0	92	0	0	0	0	1	0	0	0	0	2	0	13	0	0
ARID3B	ARID3B	mRNA	7	0	5000	0	0	4241	84	0	56925	81	0	52684	0	0	16	0	0	16	0	0	0	10	0	5000	3	0	2357	0	0	201	7	0	81	0	0	0	0	0	0	0	0	0	0	0	10	3	0
ARID3C	ARID3C	mRNA	5	0	5000	2	0	1239	3	0	6557	8	0	5318	0	0	12	0	0	12	1	0	0	8	0	5000	0	0	0	0	0	0	5	0	8	1	0	0	0	1	0	0	0	0	1	0	8	0	0
ARID4A	ARID4A	mRNA	5	0	5000	5	0	5772	81	0	75230	75	0	69458	0	0	46	0	0	48	0	0	0	13	0	5000	1	0	1744	0	0	254	5	0	75	1	0	0	0	0	0	0	0	0	4	0	13	1	0
ARID4B	ARID4B	mRNA	10	0	5000	3	0	6395	344	0	161323	340	0	154928	0	0	46	0	0	48	1	0	0	12	0	5730	1	0	1630	0	0	826	10	0	340	1	0	0	0	1	0	0	0	0	2	0	12	1	0
ARID5A	ARID5A	mRNA	3	0	5000	1	0	2206	14	0	15908	12	0	13702	0	0	12	0	0	12	0	0	0	8	0	5000	1	0	321	0	0	100	3	0	12	1	0	0	0	0	0	0	0	0	0	0	8	1	0
ARID5B	ARID5B	mRNA	14	0	5000	1	0	8214	414	0	195695	409	0	187481	0	0	18	0	0	20	0	0	0	22	0	10000	3	0	3918	1	0	725	14	0	409	0	0	0	0	0	0	0	0	0	1	0	22	3	1
ARIH1	ARIH1	mRNA	5	0	5000	0	0	5251	131	0	112230	129	0	106979	0	0	26	0	0	26	0	0	0	9	0	5000	2	0	3263	0	0	314	5	0	129	0	0	0	0	0	0	0	0	0	0	0	9	2	0
ARIH2	ARIH2	mRNA	4	0	5000	0	0	4062	59	0	66691	58	0	62629	0	0	30	0	0	30	0	0	0	7	0	5000	0	0	2268	1	0	312	4	0	58	0	0	0	0	0	0	0	0	0	0	0	7	0	1
ARIH2OS	ARIH2OS	mRNA	8	0	5000	0	0	1598	0	0	1598	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5000	0	0	489	0	0	236	8	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ARL1	ARL1	mRNA	0	0	5000	0	0	3210	32	0	14670	27	0	11460	0	0	10	0	0	10	0	0	0	5	0	5000	4	0	2515	1	0	149	0	0	27	0	0	0	0	0	0	0	0	0	0	0	5	4	1
ARL10	ARL10	mRNA	10	0	5000	1	0	2405	11	0	8002	9	0	5597	0	0	6	0	0	6	0	0	0	8	0	5000	1	0	1605	0	0	65	10	0	9	0	0	0	0	0	0	0	0	0	1	0	8	1	0
ARL11	ARL11	mRNA	7	0	5000	1	0	3760	13	0	5574	5	0	1814	0	0	2	0	0	2	0	0	0	17	0	5000	7	0	2834	0	0	335	7	0	5	1	0	0	0	0	0	0	0	0	0	0	17	7	0
ARL13A	ARL13A	Non-coding_transcript	7	0	5000	3	0	1537	11	0	21124	9	0	19587	0	0	18	0	0	16	0	0	0	6	0	5000	1	0	243	0	0	116	7	3	9	1	0	0	0	0	0	0	0	0	0	0	6	1	0
ARL13B	ARL13B	mRNA	3	0	5000	2	0	3992	69	0	75540	67	0	71548	0	0	20	0	0	22	0	0	0	1	0	5000	0	0	2415	1	0	523	3	2	67	1	0	0	0	0	0	0	0	0	0	0	1	0	1
ARL14	ARL14	mRNA	20	0	5000	1	0	1288	3	0	1288	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5000	1	0	522	1	0	187	20	0	0	1	0	0	0	0	0	0	0	0	0	0	8	1	1
ARL14EP	ARL14EP	mRNA	17	0	5000	0	0	1770	40	0	14517	39	0	12747	0	0	6	0	0	6	0	0	0	12	0	5000	1	0	823	0	0	164	17	0	39	0	0	0	0	0	0	0	0	0	0	0	12	1	0
ARL14EPL	ARL14EPL	mRNA	13	0	5000	3	0	642	53	0	7665	48	0	7023	0	0	4	0	0	4	0	0	0	25	0	5000	2	0	183	0	0	0	13	0	48	1	0	0	0	0	0	0	0	0	2	0	25	2	0
ARL15	ARL15	mRNA	10	0	5000	1	0	2486	1097	0	425790	1094	0	423304	0	0	8	0	0	8	0	0	0	10	0	5000	2	0	1777	0	0	94	10	0	1094	0	0	0	0	0	0	0	0	0	1	0	10	2	0
ARL16	ARL16	mRNA	8	0	5000	0	0	1207	0	0	2731	5	0	1524	0	0	8	0	0	8	0	0	0	9	0	5000	4	0	514	0	0	99	8	0	5	0	0	0	0	0	0	0	0	0	0	0	9	4	0
ARL17A	ARL17A	mRNA	0	0	5000	0	0	454	0	0	534	0	0	80	0	0	2	0	0	2	0	0	0	0	0	5000	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL17A.2	ARL17A	mRNA	0	0	15000	0	0	7568	0	0	62979	0	0	55411	0	0	16	0	0	12	0	0	0	0	0	5000	0	0	6692	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL17A.3	ARL17A	mRNA	0	0	20000	0	0	7781	0	0	71036	0	0	63255	0	0	16	0	0	10	0	0	0	0	0	5000	0	0	6905	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL17A.4	ARL17A	mRNA	0	0	20000	0	0	7782	0	0	71042	0	0	63260	0	0	16	0	0	10	0	0	0	0	0	5000	0	0	6906	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL17A.5	ARL17A	mRNA	4	0	5000	0	0	1851	0	0	11128	0	0	9277	0	0	4	0	0	4	0	0	0	0	0	10000	0	0	1763	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL17A.6	ARL17A	mRNA	0	0	10000	0	0	5723	0	0	62664	0	0	56941	0	0	10	0	0	8	0	0	0	0	0	5000	0	0	4931	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL17A.7	ARL17A	mRNA	0	0	5000	0	0	4877	0	0	4877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	4600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL17B	ARL17B	mRNA	0	0	10000	0	0	865	0	0	62222	0	0	61357	0	0	8	0	0	6	0	0	0	0	0	5000	0	0	102	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL17B.2	ARL17B	mRNA	0	0	10000	0	0	865	0	0	62576	0	0	61711	0	0	8	0	0	6	0	0	0	0	0	5000	0	0	102	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL2	ARL2	mRNA	14	0	5000	1	0	980	0	0	8073	0	0	7093	0	0	8	0	0	8	1	0	0	6	0	5000	0	0	330	0	0	95	14	0	0	1	0	0	0	1	0	0	0	0	0	0	6	0	0
ARL2-SNX15	ARL2-SNX15	Non-coding_transcript	0	0	5000	5	0	2463	57	0	26460	52	0	23997	0	0	20	0	0	20	0	0	0	0	0	5000	0	0	0	0	0	0	0	5	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL2BP	ARL2BP	mRNA	5	0	5000	0	0	2100	9	0	8508	8	0	6408	0	0	10	0	0	10	0	0	0	7	0	5000	1	0	1366	0	0	242	5	0	8	0	0	0	0	0	0	0	0	0	0	0	7	1	0
ARL3	ARL3	mRNA	7	0	5000	0	0	3874	72	0	40707	66	0	36833	0	0	10	0	0	10	0	0	0	10	0	5000	5	0	3167	1	0	158	7	0	66	0	0	0	0	0	0	0	0	0	0	0	10	5	1
ARL4A	ARL4A	mRNA	26	0	5000	0	0	3428	9	0	4107	3	0	679	0	0	4	0	0	4	0	0	0	15	0	5459	5	0	2076	2	0	749	26	0	3	0	0	0	0	0	0	0	0	0	0	0	15	5	2
ARL4C	ARL4C	mRNA	10	0	5000	0	0	4012	7	0	4012	0	0	0	0	0	2	0	0	2	0	0	0	13	0	5004	7	0	2966	0	0	467	10	0	0	0	0	0	0	0	0	0	0	0	0	0	13	7	0
ARL4D	ARL4D	mRNA	5	0	5000	0	0	1585	4	0	2152	1	0	567	0	0	2	0	0	2	0	0	0	7	0	5000	3	0	798	0	0	181	5	0	1	0	0	0	0	0	0	0	0	0	0	0	7	3	0
ARL5A	ARL5A	mRNA	10	0	5000	1	0	3169	41	0	27530	37	0	24361	0	0	12	0	0	14	0	0	0	6	0	5000	3	0	2310	0	0	384	10	0	37	0	0	0	0	0	0	0	0	0	1	0	6	3	0
ARL5B	ARL5B	mRNA	7	0	5000	2	0	3589	41	0	18628	33	0	15039	0	0	10	0	0	10	1	0	0	9	0	5000	6	0	2795	0	0	254	7	0	33	0	0	0	0	1	0	0	0	0	2	0	9	6	0
ARL5C	ARL5C	mRNA	12	0	5000	5	0	941	29	0	9268	23	0	8327	0	0	10	0	0	10	0	0	0	11	0	5000	0	0	0	1	0	401	12	0	23	4	0	0	0	0	0	0	0	0	1	0	11	0	1
ARL6	ARL6	mRNA	10	0	7707	0	0	2229	84	0	36722	84	0	34493	0	0	20	0	0	20	0	0	0	8	0	5000	2	0	486	0	0	642	10	0	84	0	0	0	0	0	0	0	0	0	0	0	8	2	0
ARL6IP1	ARL6IP1	mRNA	4	0	5000	0	0	2264	19	0	9867	16	0	7603	0	0	10	0	0	10	0	0	0	6	0	5000	3	0	1583	0	0	69	4	0	16	0	0	0	0	0	0	0	0	0	0	0	6	3	0
ARL6IP4	ARL6IP4	mRNA	6	0	5000	2	0	1871	0	0	2854	2	0	983	0	0	16	0	0	18	1	0	0	8	0	5000	1	0	327	0	0	839	6	2	2	1	0	0	0	1	0	0	0	0	0	0	8	1	0
ARL6IP5	ARL6IP5	mRNA	5	0	5000	0	0	2128	34	0	21150	30	0	19022	0	0	4	0	0	4	0	0	0	2	0	5000	3	0	1452	1	0	109	5	0	30	0	0	0	0	0	0	0	0	0	0	0	2	3	1
ARL6IP6	ARL6IP6	mRNA	13	0	5000	2	0	2826	121	0	43361	119	0	40535	0	0	6	0	0	8	0	0	0	8	0	5000	2	0	1413	1	0	732	13	2	119	0	0	0	0	0	1	0	0	0	0	0	8	2	1
ARL8A	ARL8A	mRNA	2	0	5000	0	0	1795	15	0	11340	15	0	9545	0	0	12	0	0	12	0	0	0	6	0	5000	0	0	1112	0	0	171	2	0	15	0	0	0	0	0	0	0	0	0	0	0	6	0	0
ARL8B	ARL8B	mRNA	15	0	5000	0	0	2985	189	0	58672	188	0	55687	0	0	12	0	0	12	0	0	0	10	0	5000	0	0	2203	1	0	221	15	0	188	0	0	0	0	0	0	0	0	0	0	0	10	0	1
ARL9	ARL9	mRNA	6	0	5000	0	0	836	35	0	18684	34	0	17848	0	0	6	0	0	6	0	0	0	12	0	5000	0	0	16	1	0	448	6	0	34	0	0	0	0	0	0	0	0	0	0	0	12	0	1
ARMC1	ARMC1	mRNA	18	0	5000	1	0	3042	74	0	31762	67	0	28720	0	0	12	0	0	12	0	0	0	13	0	5000	6	0	1938	1	0	371	18	0	67	0	0	0	0	0	0	0	0	0	1	0	13	6	1
ARMC10	ARMC10	mRNA	8	0	5000	1	0	2634	49	0	24883	48	0	22249	0	0	12	0	0	12	0	0	0	3	0	5000	0	0	1210	0	0	392	8	0	48	0	0	0	0	0	0	0	0	0	1	0	3	0	0
ARMC12	ARMC12	mRNA	18	0	5000	5	0	1224	19	0	11882	30	0	10658	0	0	12	0	0	12	0	0	0	9	0	5000	0	0	43	1	0	77	18	0	30	1	0	0	0	0	0	0	0	0	4	0	9	0	1
ARMC2	ARMC2	mRNA	11	0	5000	3	0	3736	258	0	126057	251	0	122321	0	0	34	0	0	34	0	0	0	9	0	5000	4	0	958	1	0	596	11	0	251	2	0	0	0	0	1	1	0	0	1	0	9	4	1
ARMC2-AS1	ARMC2-AS1	Non-coding_transcript	12	0	5000	4	0	717	0	0	15964	1	0	15247	0	0	4	0	0	4	0	0	0	12	0	5000	0	0	0	0	0	0	12	4	1	0	0	0	0	0	0	0	0	0	0	0	12	0	0
ARMC3	ARMC3	mRNA	27	0	10000	8	0	4135	272	0	110500	265	0	106365	0	0	40	0	0	36	1	0	0	6	0	5000	2	0	1410	0	0	384	27	0	265	4	0	0	0	1	0	0	0	0	4	0	6	2	0
ARMC4	ARMC4	mRNA	14	0	5000	6	0	3898	464	0	186892	458	0	182994	0	0	40	0	0	44	0	0	0	15	0	10149	1	0	348	0	0	597	14	0	458	3	0	0	0	0	0	0	0	0	3	0	15	1	0
ARMC5	ARMC5	mRNA	9	0	5000	4	0	5025	20	0	8895	17	0	3870	0	0	14	0	0	14	0	0	0	15	0	5723	4	0	1966	1	0	653	9	0	17	3	0	0	0	0	0	0	0	0	1	0	15	4	1
ARMC6	ARMC6	mRNA	5	0	5000	0	0	2488	37	0	24601	35	0	22113	0	0	16	0	0	16	0	0	0	2	0	5000	2	0	550	0	0	478	5	0	35	0	0	0	0	0	0	0	0	0	0	0	2	2	0
ARMC7	ARMC7	mRNA	0	0	5000	0	0	2126	26	0	20279	24	0	18153	0	0	4	0	0	4	0	0	0	6	0	5000	2	0	1227	0	0	302	0	0	24	0	0	0	0	0	0	0	0	0	0	0	6	2	0
ARMC8	ARMC8	mRNA	10	0	10000	0	0	6657	70	0	111139	67	0	104482	0	0	46	0	0	44	0	0	0	5	0	5000	3	0	4132	0	0	483	10	0	67	0	0	0	0	0	0	0	0	0	0	0	5	3	0
ARMC9	ARMC9	mRNA	35	0	10000	5	0	5083	403	0	175313	393	0	170230	0	0	50	0	0	48	1	0	0	11	0	5000	5	0	2463	0	0	160	35	0	393	2	0	0	0	1	0	0	0	0	3	0	11	5	0
ARMCX1	ARMCX1	mRNA	2	0	5000	0	0	2133	0	0	4162	0	0	2029	0	0	6	0	0	6	0	0	0	1	0	5000	0	0	400	0	0	371	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ARMCX2	ARMCX2	mRNA	6	0	5000	1	0	2903	4	0	4609	3	0	1706	0	0	14	0	0	12	0	0	0	11	0	5000	0	0	408	0	0	596	6	0	3	0	0	0	0	0	0	0	0	0	1	0	11	0	0
ARMCX3	ARMCX3	mRNA	13	0	5000	2	0	3465	4	0	4712	0	0	1247	0	0	10	0	0	10	0	0	0	9	0	5231	2	0	1722	0	0	603	13	0	0	2	0	0	0	0	0	0	0	0	0	0	9	2	0
ARMCX4	ARMCX4	Non-coding_transcript	19	0	15000	21	0	15204	148	0	117725	135	0	102521	0	0	38	0	0	36	0	0	0	14	0	12790	0	0	349	2	0	202	19	16	135	5	0	0	0	0	1	0	0	0	1	0	14	0	2
ARMCX5	ARMCX5	mRNA	0	0	5000	0	0	3048	1	0	4990	1	0	1942	0	0	12	0	0	12	0	0	0	3	0	5330	0	0	339	0	0	1032	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ARMCX5-GPRASP2	ARMCX5-GPRASP2	mRNA	0	0	5000	0	0	3940	46	0	118386	45	0	114446	0	0	12	0	0	12	0	0	0	0	0	5000	1	0	347	0	0	1076	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARMCX6	ARMCX6	mRNA	3	0	5000	0	0	1936	1	0	2884	1	0	948	0	0	8	0	0	8	0	0	0	0	0	5000	0	0	600	0	0	433	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARMS2	ARMS2	mRNA	9	0	5000	2	0	808	8	0	2690	5	0	1882	0	0	2	0	0	2	0	0	0	13	0	5000	1	0	419	0	0	65	9	0	5	1	0	0	0	0	0	0	1	0	0	0	13	1	0
ARNT	ARNT	mRNA	3	0	5000	1	0	4943	76	0	67064	72	0	62121	0	0	50	0	0	44	0	0	0	7	0	5000	3	0	2316	0	0	284	3	0	72	0	0	0	0	0	0	0	0	0	1	0	7	3	0
ARNT2	ARNT2	mRNA	23	0	5000	0	0	6558	441	0	193586	420	0	187028	0	0	36	0	0	36	0	0	0	9	0	5000	21	0	4238	0	0	166	23	0	420	0	0	0	0	0	0	0	0	0	0	0	9	21	0
ARNTL	ARNTL	mRNA	10	0	5000	0	0	2866	254	0	109488	254	0	106622	0	0	40	0	0	40	0	0	0	18	0	5000	0	0	509	0	0	608	10	0	254	0	0	0	0	0	0	0	0	0	0	0	18	0	0
ARNTL2	ARNTL2	mRNA	6	0	5000	0	0	7444	180	0	92960	176	0	85516	0	0	32	0	0	34	0	0	0	8	0	5000	4	0	5349	0	0	219	6	0	176	0	0	0	0	0	0	0	0	0	0	0	8	4	0
ARNTL2-AS1	ARNTL2-AS1	Non-coding_transcript	9	0	5000	0	0	813	35	0	56846	39	0	56033	0	0	6	0	0	6	0	0	0	17	0	5000	0	0	0	0	0	0	9	0	39	0	0	0	0	0	0	0	0	0	0	0	17	0	0
ARPC1A	ARPC1A	mRNA	2	0	5000	0	0	1607	44	0	40390	44	0	38783	0	0	20	0	0	18	0	0	0	10	0	5000	0	0	333	0	0	201	2	0	44	0	0	0	0	0	0	0	0	0	0	0	10	0	0
ARPC1B	ARPC1B	mRNA	3	0	5000	1	0	1531	30	0	20107	28	0	18576	0	0	18	0	0	18	0	0	0	2	0	5000	1	0	292	0	0	120	3	0	28	0	0	0	0	0	0	0	0	0	1	0	2	1	0
ARPC2	ARPC2	mRNA	14	0	5000	0	0	1571	88	0	37255	87	0	35684	0	0	20	0	0	20	1	0	0	9	0	5303	1	0	433	0	0	235	14	0	87	0	0	0	0	1	0	0	0	0	0	0	9	1	0
ARPC3	ARPC3	mRNA	5	0	5000	0	0	953	27	0	15522	27	0	14569	0	0	14	0	0	12	0	0	0	6	0	5000	0	0	265	0	0	151	5	0	27	0	0	0	0	0	0	0	0	0	0	0	6	0	0
ARPC4	ARPC4	mRNA	8	0	5000	0	0	2081	0	0	14611	0	0	12530	0	0	10	0	0	16	0	0	0	12	0	5622	1	0	890	0	0	894	8	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0
ARPC4-TTLL3	ARPC4-TTLL3	mRNA	0	0	5000	3	0	3987	111	0	43809	102	0	39822	0	0	22	0	0	22	0	0	0	0	0	5000	6	0	1535	0	0	574	0	0	102	1	0	0	0	0	0	0	0	0	2	0	0	6	0
ARPC5	ARPC5	mRNA	38	0	5000	2	0	2086	42	0	9749	38	0	7663	0	0	8	0	0	6	0	0	0	30	0	5000	2	0	1339	0	0	282	38	0	38	0	0	0	0	0	0	0	0	0	2	0	30	2	0
ARPC5L	ARPC5L	mRNA	14	0	5000	0	0	1025	12	0	8213	11	0	7188	0	0	6	0	0	6	0	0	0	3	0	5000	1	0	477	0	0	86	14	0	11	0	0	0	0	0	0	0	0	0	0	0	3	1	0
ARPP19	ARPP19	mRNA	20	0	5000	0	0	5162	69	0	21782	57	0	16620	0	0	4	0	0	4	0	0	0	9	0	5000	12	0	4699	0	0	124	20	0	57	0	0	0	0	0	0	0	0	0	0	0	9	12	0
ARPP21	ARPP21	mRNA	22	0	10000	2	0	6873	365	0	155323	364	0	148450	0	0	42	0	0	50	1	0	0	37	0	14499	2	0	2396	0	0	1924	22	0	364	0	0	0	0	1	0	0	0	0	2	0	37	2	0
ARR3	ARR3	mRNA	0	0	5000	1	0	1309	23	0	13506	22	0	12197	0	0	32	0	0	32	0	0	0	7	0	5000	0	0	74	0	0	68	0	0	22	0	0	0	0	0	0	0	0	0	1	0	7	0	0
ARRB1	ARRB1	mRNA	4	0	5000	2	0	7522	192	0	91710	183	0	84188	0	0	30	0	0	30	0	0	0	10	0	5000	7	0	6041	0	0	224	4	0	183	0	0	0	0	0	0	0	0	0	2	0	10	7	0
ARRB2	ARRB2	mRNA	21	0	5000	2	0	2025	25	0	11007	24	0	8982	0	0	33	0	0	32	0	0	0	3	0	5000	1	0	567	0	0	228	21	2	24	0	0	0	0	0	0	0	0	0	1	0	3	1	0
ARRDC1	ARRDC1	mRNA	5	0	5000	1	0	1598	18	0	9717	16	0	8119	0	0	14	0	0	14	0	0	0	5	0	5000	1	0	222	0	0	74	5	0	16	1	0	0	0	0	0	0	0	0	0	0	5	1	0
ARRDC2	ARRDC2	mRNA	10	0	5000	1	0	2945	18	0	12971	16	0	10026	0	0	16	0	0	16	0	0	0	16	0	10000	1	0	1136	0	0	326	10	0	16	1	0	0	0	0	0	0	0	0	0	0	16	1	0
ARRDC3	ARRDC3	mRNA	14	0	5000	1	0	4161	18	0	14609	16	0	10448	0	0	14	0	0	14	0	0	0	12	0	5000	1	0	2676	0	0	240	14	0	16	1	0	0	0	0	0	0	0	0	0	0	12	1	0
ARRDC3-AS1	ARRDC3-AS1	Non-coding_transcript	9	0	5000	4	0	2502	54	0	40369	50	0	37867	0	0	4	0	0	4	1	0	0	8	0	5000	0	0	0	0	0	0	9	4	50	0	0	0	0	1	0	0	0	0	0	0	8	0	0
ARRDC4	ARRDC4	mRNA	38	0	5000	3	0	4067	52	0	13136	37	0	9069	0	0	14	0	0	14	0	0	0	17	0	5000	12	0	2651	0	0	159	38	0	37	2	0	0	0	0	0	0	0	0	1	0	17	12	0
ARRDC5	ARRDC5	mRNA	12	0	5000	1	0	1638	30	0	12431	27	0	10793	0	0	4	0	0	4	0	0	0	16	0	5000	2	0	609	0	0	0	12	0	27	0	0	0	0	0	0	0	0	0	1	0	16	2	0
ARSA	ARSA	mRNA	16	0	5000	4	0	4315	22	0	5420	9	0	1105	0	0	16	0	0	20	0	0	0	16	0	5000	9	0	2391	0	0	428	16	0	9	3	0	0	0	0	0	0	0	0	1	0	16	9	0
ARSB	ARSB	mRNA	27	0	10000	5	0	6675	721	0	209321	707	0	202646	0	0	18	0	0	16	0	0	0	20	0	5591	5	0	3758	4	0	1286	27	0	707	2	0	0	0	0	3	0	0	0	3	0	20	5	4
ARSD	ARSD	mRNA	20	0	5000	2	0	5183	52	0	25406	42	0	20223	0	0	18	0	0	18	0	0	0	22	0	5000	8	0	3301	0	0	100	20	0	42	0	0	0	0	0	0	0	0	0	2	0	22	8	0
ARSE	ARSE	mRNA	22	0	5000	5	0	2668	59	0	33679	57	0	31011	0	0	22	0	0	24	0	0	0	5	0	8857	0	0	200	1	0	616	22	0	57	3	0	0	0	0	0	0	0	0	2	0	5	0	1
ARSF	ARSF	mRNA	27	0	5000	1	0	2349	170	0	72496	168	0	70147	0	0	20	0	0	24	2	0	0	21	0	11237	0	0	173	3	0	403	27	0	168	0	0	0	0	2	1	0	0	0	1	0	21	0	3
ARSG	ARSG	mRNA	4	0	5000	7	0	2844	335	0	161678	330	0	158834	0	0	22	0	0	24	1	0	0	17	0	10000	0	0	396	1	0	870	4	0	330	5	0	0	0	1	0	0	0	0	2	0	17	0	1
ARSH	ARSH	mRNA	12	0	5000	1	0	1689	36	0	26773	35	0	25084	0	0	16	0	0	16	0	0	0	8	0	5000	0	0	0	0	0	0	12	0	35	0	0	0	0	0	0	0	0	0	1	0	8	0	0
ARSI	ARSI	mRNA	20	0	5000	2	0	3167	16	0	6617	11	0	3450	0	0	2	0	0	2	0	0	0	4	0	5000	3	0	868	0	0	589	20	0	11	0	0	0	0	0	0	0	0	0	2	0	4	3	0
ARSJ	ARSJ	mRNA	6	0	5000	0	0	4678	206	0	79439	198	0	74761	0	0	2	0	0	2	0	0	0	9	0	5000	6	0	1990	2	0	888	6	0	198	0	0	0	0	0	0	0	0	0	0	0	9	6	2
ARSK	ARSK	mRNA	2	0	5000	1	0	3345	73	0	49982	70	0	46637	0	0	14	0	0	14	0	0	0	16	0	5000	2	0	1576	0	0	158	2	0	70	1	0	0	0	0	0	0	0	0	0	0	16	2	0
ART1	ART1	mRNA	18	0	5000	4	0	1312	50	0	19286	46	0	17974	0	0	8	0	0	8	0	0	0	22	0	5000	0	0	227	0	0	101	18	0	46	3	0	0	0	0	0	0	0	0	1	0	22	0	0
ART3	ART3	mRNA	28	0	5000	1	0	1728	491	0	101623	488	0	99895	0	0	22	0	0	24	0	0	0	43	0	10000	2	0	283	0	0	275	28	0	488	1	0	0	0	0	0	0	0	0	0	0	43	2	0
ART4	ART4	mRNA	13	0	5000	4	0	1371	33	0	14169	29	0	12798	0	0	4	0	0	4	0	0	0	17	0	5000	0	0	60	0	0	366	13	0	29	2	0	0	0	0	0	0	0	0	2	0	17	0	0
ART5	ART5	mRNA	14	0	5000	3	0	1562	0	0	3811	16	0	2249	0	0	8	0	0	8	0	0	0	11	0	5061	1	0	232	1	0	454	14	0	16	2	0	0	0	0	0	0	0	0	1	0	11	1	1
ARTN	ARTN	mRNA	10	0	5000	1	0	1944	1	0	3921	4	0	1977	0	0	10	0	0	8	0	0	0	11	0	5000	1	0	475	1	0	782	10	0	4	1	0	0	0	0	0	0	0	0	0	0	11	1	1
ARV1	ARV1	mRNA	16	0	5000	0	0	1445	93	0	21657	90	0	20212	0	0	10	0	0	10	0	0	0	17	0	5000	3	0	600	0	0	29	16	0	90	0	0	0	0	0	0	0	0	0	0	0	17	3	0
ARVCF	ARVCF	mRNA	3	0	5000	5	0	4036	112	0	46908	104	0	42872	0	0	38	0	0	38	0	0	0	1	0	5000	3	0	877	0	0	270	3	0	104	4	0	0	0	0	0	0	0	0	1	0	1	3	0
ARX	ARX	mRNA	0	0	5000	0	0	2874	4	0	12253	4	0	9379	0	0	8	0	0	8	0	0	0	7	0	5000	0	0	974	0	0	211	0	0	4	0	0	0	0	0	0	0	0	0	0	0	7	0	0
AS3MT	AS3MT	mRNA	17	0	5000	0	0	2466	0	0	32446	0	0	29980	0	0	20	0	0	20	0	0	0	10	0	5000	2	0	1198	0	0	140	17	0	0	2	0	0	0	0	0	0	0	0	0	0	10	2	0
ASAH1	ASAH1	mRNA	30	0	5000	7	0	2962	151	0	28583	137	0	25621	0	0	28	0	0	30	2	0	0	20	0	5628	9	0	1118	2	0	509	30	0	137	7	0	0	0	2	0	0	0	0	0	0	20	9	2
ASAH2	ASAH2	mRNA	0	0	5000	2	0	2418	46	0	61371	44	0	58953	0	0	38	0	0	38	0	0	0	18	0	5000	0	0	75	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	2	0	18	0	0
